M1,M10,M11,M12,M13,M14,M15,M2,M3,M5,M6,M7,M8,M9
0,0,0,0,0,0,0,0,0,0,120,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,120,0
0,0,0,0,0,0,22,97,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,116,0,0,0
0,0,0,0,0,0,0,0,0,0,0,116,0,0
0,0,0,0,0,115,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,114,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,114
38,32,32,0,0,0,0,11,0,0,0,0,0,0
0,0,0,0,0,0,0,0,112,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,111
0,0,0,0,0,0,0,0,0,0,0,109,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,107
0,0,0,0,0,0,0,0,106,0,0,0,0,0
0,0,0,0,0,0,0,0,0,106,0,0,0,0
0,0,0,0,0,0,0,0,0,0,104,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,103
36,38,0,0,0,27,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,101,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,101,0
0,0,0,0,0,0,0,0,0,0,0,0,0,101
0,0,0,0,0,0,0,0,48,0,52,0,0,0
0,0,0,0,0,7,0,47,11,33,0,0,0,0
0,0,0,0,0,0,0,0,98,0,0,0,0,0
0,0,0,0,0,0,0,97,0,0,0,0,0,0
0,0,0,0,0,0,0,0,97,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,97
31,47,0,0,0,0,18,0,0,0,0,0,0,0
0,47,21,0,0,0,0,0,0,0,0,0,0,28
0,0,0,0,0,0,0,0,0,95,0,0,0,0
0,0,0,0,0,0,0,0,0,95,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,45,46,0
0,0,0,0,0,0,0,0,0,0,0,0,91,0
0,0,0,0,0,0,0,0,0,0,0,0,90,0
0,0,0,0,0,0,0,0,0,0,0,0,0,90
0,0,0,0,0,0,0,0,0,0,0,0,89,0
0,0,0,0,0,0,0,0,0,0,0,0,78,10
0,0,0,0,0,0,0,0,0,0,0,0,0,88
37,0,50,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,78,0,0,0,0,0,0
0,0,7,0,0,0,0,26,0,54,0,0,0,0
0,0,0,0,0,0,0,0,0,0,87,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,87,0
47,0,0,0,0,0,0,39,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,86,0,0,0
0,0,0,0,0,0,0,0,0,0,85,0,0,0
0,0,0,0,0,0,0,0,0,0,0,85,0,0
0,0,0,0,0,0,0,0,0,0,0,0,85,0
0,0,0,0,0,0,0,0,0,0,0,0,85,0
6,0,0,0,0,0,0,0,0,0,78,0,0,0
0,0,0,0,0,0,0,83,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,83,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,83,0
0,0,0,0,0,82,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,82,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,78,0,0,4
0,0,0,0,0,0,0,0,0,0,0,82,0,0
0,0,0,0,0,0,0,0,81,0,0,0,0,0
0,0,0,0,0,0,0,0,0,79,0,0,0,0
0,0,0,0,0,0,0,0,0,0,79,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,79,0
0,0,0,0,0,0,0,0,0,0,0,0,0,79
0,0,0,0,0,0,0,0,0,0,0,0,78,0
0,0,0,0,0,0,0,0,0,0,0,0,0,78
0,0,0,0,0,76,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,76,0
0,0,0,0,0,0,0,0,0,0,0,0,76,0
0,0,0,0,0,0,0,0,0,0,0,0,0,76
0,33,42,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,75,0,0,0,0
0,0,0,0,0,0,0,0,0,75,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,74,0
12,0,0,0,0,0,0,61,0,0,0,0,0,0
0,0,0,0,0,0,0,73,0,0,0,0,0,0
0,0,0,0,0,0,0,73,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,73,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,72,0
0,0,0,0,0,0,0,0,0,0,0,0,72,0
0,0,0,0,0,0,0,0,0,70,0,0,0,0
0,0,0,0,0,0,0,0,0,0,70,0,0,0
17,0,0,0,0,52,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,61,0,0,0,0,0
0,0,0,0,0,69,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,69,0,0,0,0
0,0,0,0,0,0,0,0,0,69,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,69,0
0,0,0,0,0,0,24,44,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,54,0,0,0,0
0,0,0,0,0,0,0,0,0,0,67,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,67
0,0,0,0,0,0,0,0,0,0,0,0,0,67
3,42,0,0,0,21,0,0,0,0,0,0,0,0
0,46,20,0,0,0,0,0,0,0,0,0,0,0
0,23,43,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,66,0,0,0,0,0
0,0,0,0,0,0,0,0,0,58,0,0,0,8
0,0,0,0,0,0,0,0,0,0,66,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,66,0
0,0,64,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,64,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,64,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,63,0
0,0,0,0,0,0,0,0,0,0,0,0,63,0
20,0,0,0,0,0,0,0,0,42,0,0,0,0
0,0,0,0,0,0,0,0,62,0,0,0,0,0
0,0,0,0,0,0,0,0,0,62,0,0,0,0
0,0,61,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,61,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,61,0,0,0
0,0,0,0,0,0,0,0,0,0,61,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,61
60,0,0,0,0,0,0,0,0,0,0,0,0,0
